60-64,41,Chris,Toole,L,61,OREG,373S-025UF,3775
75-79,2,Barry,Fasbender,A,75,STAN,3838-03H08,3775
45-49,92,Kristopher,Kordana,E,47,DAM,383V-03G0D,3780
50-54,110,Steven,Jacobs,R,51,MOST,433U-02NPN,3780
18-24,28,Cody,Conley,F,21,SCA,333V-0828U,3800
30-34,41,Peter,Given,W,32,TSTT,333T-0714R,3800
30-34,41,Karl,Kowalske,R,32,MICH,193W-084E3,3800
40-44,83,Robert,Cowan,N,40,CMS,323A-07KP1,3800
40-44,83,David,Holan,D,44,ART,453C-02E4T,3800
45-49,91,Matthew,Hausmann,J,49,NEM,023E-033Z5,3800
55-59,82,Donald,Slovenkai,S,56,NEM,023M-0346G,3805
60-64,39,Stephen,Roach,A,62,NEM,023Y-033R8,3805
35-39,54,Jacob,Brickman,W,36,ARKM,233W-05HP8,3815
50-54,108,Charles,Grant,R,53,NEM,0239-07HCP,3820
55-59,81,David,Jaye,A,59,NEM,023D-0474T,3820
18-24,27,Brian,McMahon,J,19,ART,453A-083K7,3825
45-49,88,William,Finch,H,47,CSI,163G-02BFS,3825
45-49,88,Christian,Scheuring,C,48,DAM,383S-03FCE,3825
50-54,106,Geoffrey,Comstock,C,50,MOST,433Z-04KP2,3835
45-49,86,Richard,Knipe,A,49,SPM,1431-02TAK,3840
55-59,80,Howard,Painter,H,59,TCAM,383U-03WPA,3845
30-34,39,Jon,Agren,A,33,UNAT,303M-07VYJ,3850
30-34,39,Clay,Davidson,W,33,VCM,3338-07TTF,3850
35-39,53,Coley,Penrose,J,39,NEM,023P-080TA,3850
45-49,85,Cary,Thompson,M,47,DAM,383R-0072A,3850
60-64,36,David,Damassa,A,62,NEM,0235-033A6,3850
35-39,52,Randy,Clark,T,37,NEM,023W-036TA,3865
40-44,79,Jeff,Simons,S,44,DAM,383H-06EE9,3865
55-59,78,Paul,Dow,L,59,NEM,0230-0633Z,3865
65-69,20,Paul,Kelly,R,65,DAM,383V-03GDV,3865
45-49,84,Victor,Maldonado,S,49,NEM,023F-033W3,3870
50-54,104,Glenn,Cunha,A,50,NEM,023J-033VT,3875
60-64,35,Ted,Deacon,S,63,DAM,383N-03GEJ,3875
45-49,83,Rod,Parmenter,T,47,OREG,373V-069PA,3880
50-54,103,Blaise,O'Neill,M,54,GOLD,503W-027PH,3880
60-64,34,Michael,Carew,P,63,OREG,3737-025XU,3880
30-34,38,Tim,Krajewski,L,31,GOLD,503Y-028CN,3890
60-64,32,Frederick,Lewis,J,62,SPM,143H-02RG0,3895
35-39,51,Jeff,Berebitsky,N,37,INDY,1633-026XN,3900
